# Localization Prediction using LocTree3
# Domain: bact
#
# NOTATION Protein Id: Fasta sequences Id truncated by whitespace
# NOTATION Score: Reliability score on a 0-100 scale (0=unreliable & 100=most reliable)
# NOTATION Localization: Predicted sub-cellular localization class
# NOTATION Gene Ontology Terms: Gene Ontology (GO) term/s of the corresponding localization. GO terms predicted by PSI-BLAST are supported by evidence codes (see http://www.geneontology.org/GO.evidence.shtml)
#
# PSI-BLAST annotation based on Swiss-Prot release 2013_11.
# Protein Id	Score	Localization	Gene Ontology Terms
tr|Q5ZXL7|Q5ZXL7_LEGPH	17	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(NAS); plasma membrane GO:0005886(IEA);
tr|Q5ZYT3|Q5ZYT3_LEGPH	8	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|Q5ZX91|Q5ZX91_LEGPH	16	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZSS8|Q5ZSS8_LEGPH	9	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZWH1|Q5ZWH1_LEGPH	17	cytoplasm	membrane GO:0016020(IEA);
tr|Q5ZVH1|Q5ZVH1_LEGPH	21	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZRL3|TYSY_LEGPH	65	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZX76|CCMA_LEGPH	13	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZT77|Q5ZT77_LEGPH	25	inner membrane	integral to plasma membrane GO:0005887(IDA); protein complex GO:0043234(IDA);
sp|Q5ZT29|RF1_LEGPH	53	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZRP4|GLMS_LEGPH	47	cytoplasm	cytosol GO:0005829(IDA);
tr|Q5ZRU7|Q5ZRU7_LEGPH	28	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZX53|Q5ZX53_LEGPH	23	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZX15|PDXB_LEGPH	17	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZS70|OBG_LEGPH	54	cytoplasm	cytosol GO:0005829(IDA);
tr|Q5ZXJ0|Q5ZXJ0_LEGPH	6	secreted	cell wall GO:0005618(IDA); cytosol GO:0005829(IDA); extracellular region GO:0005576(IEA); plasma membrane GO:0005886(IDA);
sp|Q5ZTZ8|KGUA_LEGPH	39	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZYE0|Q5ZYE0_LEGPH	23	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZXR9|Q5ZXR9_LEGPH	3	outer membrane	cell outer membrane GO:0009279(IDA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZRS9|Q5ZRS9_LEGPH	18	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZS85|Q5ZS85_LEGPH	26	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZTF8|Q5ZTF8_LEGPH	34	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IDA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZVE0|Q5ZVE0_LEGPH	15	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZRQ0|LUBX_LEGPH	100	secreted	host cell GO:0043657(IDA); ubiquitin ligase complex GO:0000151(IEA);
tr|Q5ZY81|Q5ZY81_LEGPH	19	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA); periplasmic space GO:0042597(IDA);
tr|Q5ZVC5|Q5ZVC5_LEGPH	7	inner membrane	integral to membrane GO:0016021(IBA); plasma membrane GO:0005886(IEA);
tr|Q5ZT35|Q5ZT35_LEGPH	24	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZUR4|Q5ZUR4_LEGPH	14	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZUF5|Q5ZUF5_LEGPH	22	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZT51|DAPA_LEGPH	38	cytoplasm	cytosol GO:0005829(IDA);
tr|Q5ZX75|Q5ZX75_LEGPH	29	inner membrane	ATP-binding cassette (ABC) transporter complex GO:0043190(IMP); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZU47|Q5ZU47_LEGPH	13	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZRJ0|Q5ZRJ0_LEGPH	15	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZW77|Q5ZW77_LEGPH	12	cytoplasm	cytoplasm GO:0005737(IDA);
tr|Q5ZRL0|Q5ZRL0_LEGPH	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZRH7|Q5ZRH7_LEGPH	40	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
