#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2E4BDDA5ACDA446D-1D80ECF6396A17BB
#datatype	hitsFull Results
#status	0
#Start time	2018-01-18T14:38:14	Run time	0:00:00:23
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - > Q5ZXC4 | lpg0808 length= 363	specific	234825	2	356	3.76046e-138	396.809	PRK00726	murG	 - 	cl28259
Q#1 - > Q5ZXC4 | lpg0808 length= 363	superfamily	333079	2	356	3.76046e-138	396.809	cl28259	MurG superfamily	 - 	 - 
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	171505	4	353	2.82652e-136	391.913	PRK12446	PRK12446	 - 	cl28259
Q#1 - > Q5ZXC4 | lpg0808 length= 363	specific	99961	5	350	1.00025e-131	380.286	cd03785	GT1_MurG	 - 	cl10013
Q#1 - > Q5ZXC4 | lpg0808 length= 363	superfamily	324558	5	350	1.00025e-131	380.286	cl10013	Glycosyltransferase_GTB_type superfamily	 - 	 - 
Q#1 - > Q5ZXC4 | lpg0808 length= 363	specific	223779	5	355	1.63907e-102	306.174	COG0707	MurG	 - 	cl28259
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	273460	4	351	9.47491e-88	268.002	TIGR01133	murG	 - 	cl28259
Q#1 - > Q5ZXC4 | lpg0808 length= 363	specific	281083	5	141	2.00223e-44	149.355	pfam03033	Glyco_transf_28	 - 	cl10013
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	282021	190	345	5.43674e-30	112.415	pfam04101	Glyco_tran_28_C	 - 	cl10013
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	237445	156	359	1.15798e-17	83.2355	PRK13609	PRK13609	N	cl28258
Q#1 - > Q5ZXC4 | lpg0808 length= 363	superfamily	333078	156	359	1.15798e-17	83.2355	cl28258	PRK13609 superfamily	N	 - 
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	224732	5	353	8.85558e-14	71.6921	COG1819	YjiC	 - 	cl26154
Q#1 - > Q5ZXC4 | lpg0808 length= 363	superfamily	330975	5	353	8.85558e-14	71.6921	cl26154	UDPGT superfamily	 - 	 - 
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	184179	64	347	2.00969e-07	52.1046	PRK13608	PRK13608	N	cl28258
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	99980	5	121	3.04155e-06	48.3157	cd03808	GT1_cap1E_like	C	cl10013
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	273616	249	325	3.40427e-06	48.142	TIGR01426	MGT	N	cl26154
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	227017	241	321	1.35862e-05	46.5968	COG4671	COG4671	N	cl28259
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	99960	248	327	2.47995e-05	45.4316	cd03784	GT1_Gtf_like	N	cl10013
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	215325	154	279	8.42864e-05	43.8042	PLN02605	PLN02605	N	cl28258
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	316086	210	316	0.000131461	43.194	pfam13528	Glyco_trans_1_3	N	cl26153
Q#1 - > Q5ZXC4 | lpg0808 length= 363	superfamily	330974	210	316	0.000131461	43.194	cl26153	Glyco_trans_1_3 superfamily	N	 - 
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	273203	251	308	0.00381019	38.7022	TIGR00661	MJ1255	N	cl26153
Q#1 - > Q5ZXC4 | lpg0808 length= 363	non-specific	99990	3	165	0.00401993	38.7273	cd03820	GT1_amsD_like	C	cl10013
Q#2 - > Q5ZX85 | lpg0847 length= 422	specific	236486	1	419	0	766.886	PRK09369	PRK09369	 - 	cl00288
Q#2 - > Q5ZX85 | lpg0847 length= 422	superfamily	260328	1	419	0	766.886	cl00288	EPT_RTPC-like superfamily	 - 	 - 
Q#2 - > Q5ZX85 | lpg0847 length= 422	specific	223837	1	421	0	698.099	COG0766	MurA	 - 	cl00288
Q#2 - > Q5ZX85 | lpg0847 length= 422	specific	238796	12	412	0	685.359	cd01555	UdpNAET	 - 	cl00288
Q#2 - > Q5ZX85 | lpg0847 length= 422	specific	162190	1	418	0	633.111	TIGR01072	murA	 - 	cl00288
Q#2 - > Q5ZX85 | lpg0847 length= 422	non-specific	183779	1	421	1.93292e-180	509.011	PRK12830	PRK12830	 - 	cl00288
Q#2 - > Q5ZX85 | lpg0847 length= 422	specific	306730	6	409	2.53785e-138	401.678	pfam00275	EPSP_synthase	 - 	cl27725
Q#2 - > Q5ZX85 | lpg0847 length= 422	superfamily	332546	6	409	2.53785e-138	401.678	cl27725	EPSP_synthase superfamily	 - 	 - 
Q#2 - > Q5ZX85 | lpg0847 length= 422	non-specific	238795	12	412	2.14714e-114	340.736	cd01554	EPT-like	 - 	cl00288
Q#2 - > Q5ZX85 | lpg0847 length= 422	non-specific	238794	234	412	1.13146e-26	106.21	cd01553	EPT_RTPC-like	 - 	cl00288
Q#2 - > Q5ZX85 | lpg0847 length= 422	non-specific	238797	12	399	1.99594e-23	101.095	cd01556	EPSP_synthase	 - 	cl00288
Q#2 - > Q5ZX85 | lpg0847 length= 422	non-specific	223206	1	416	1.09356e-21	96.13	COG0128	AroA	 - 	cl27725
Q#2 - > Q5ZX85 | lpg0847 length= 422	non-specific	235037	1	416	6.20438e-17	82.1131	PRK02427	PRK02427	 - 	cl27725
Q#2 - > Q5ZX85 | lpg0847 length= 422	non-specific	273574	14	415	2.0271e-16	80.3975	TIGR01356	aroA	 - 	cl27725
Q#2 - > Q5ZX85 | lpg0847 length= 422	non-specific	223206	173	422	8.59808e-08	53.7581	COG0128	AroA	C	cl27725
Q#2 - > Q5ZX85 | lpg0847 length= 422	non-specific	235037	128	417	1.06558e-07	53.6083	PRK02427	PRK02427	 - 	cl27725
Q#2 - > Q5ZX85 | lpg0847 length= 422	non-specific	238797	173	416	1.2607e-06	49.8633	cd01556	EPSP_synthase	C	cl00288
Q#2 - > Q5ZX85 | lpg0847 length= 422	non-specific	273574	173	422	0.000149843	43.4184	TIGR01356	aroA	C	cl27725
Q#2 - > Q5ZX85 | lpg0847 length= 422	non-specific	183343	14	364	0.000690806	41.6151	PRK11861	PRK11861	N	cl27725
Q#3 - > Q5ZX16 | lpg0917 length= 483	specific	234660	1	481	0	559.749	PRK00139	murE	 - 	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	superfamily	332700	1	481	0	559.749	cl27879	Mur_ligase_M superfamily	 - 	 - 
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	273435	17	474	4.97425e-167	479.12	TIGR01085	murE	 - 	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	specific	223840	1	482	7.1332e-164	471.421	COG0769	MurE	 - 	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	237025	20	481	2.3406e-159	476.118	PRK11929	PRK11929	C	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	237588	1	462	2.62937e-90	283.467	PRK14022	PRK14022	 - 	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	specific	285457	110	307	9.45893e-50	168.226	pfam08245	Mur_ligase_M	 - 	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	308491	332	412	9.87164e-30	111.277	pfam02875	Mur_ligase_C	 - 	cl27335
Q#3 - > Q5ZX16 | lpg0917 length= 483	superfamily	332156	332	412	9.87164e-30	111.277	cl27335	Mur_ligase_C superfamily	 - 	 - 
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	223842	109	452	3.14375e-27	113.528	COG0771	MurD	N	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	223841	20	375	5.07649e-26	110.084	COG0770	MurF	 - 	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	273436	77	454	2.67323e-23	101.648	TIGR01087	murD	 - 	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	234950	109	340	3.36651e-22	98.762	PRK01390	murD	NC	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	superfamily	332701	109	340	3.36651e-22	98.762	cl27880	PRK14016 superfamily	NC	 - 
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	223844	198	457	1.00831e-17	85.3252	COG0773	MurC	N	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	273468	26	455	4.6034e-17	82.6988	TIGR01143	murF	 - 	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	237025	20	455	7.60562e-17	83.6	PRK11929	PRK11929	N	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	273950	109	453	1.30462e-16	82.5206	TIGR02068	cya_phycin_syn	N	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	273433	77	374	1.11172e-14	75.8055	TIGR01082	murC	C	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	235041	77	339	2.62765e-14	74.4999	PRK02472	murD	C	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	184511	75	339	7.51738e-14	73.0813	PRK14106	murD	C	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	223362	269	455	2.47792e-13	71.5245	COG0285	FolC	N	cl27336
Q#3 - > Q5ZX16 | lpg0917 length= 483	superfamily	332157	269	455	2.47792e-13	71.5245	cl27336	FolC superfamily	N	 - 
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	179297	77	239	2.88706e-13	71.6437	PRK01438	murD	NC	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	234995	109	339	9.75044e-13	69.6866	PRK02006	murD	NC	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	234757	198	374	1.27783e-12	69.3767	PRK00421	murC	NC	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	179286	72	336	2.42548e-12	68.3285	PRK01368	murD	C	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	235059	109	340	5.91762e-12	67.2381	PRK02705	murD	NC	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	179871	110	339	3.11136e-11	64.7971	PRK04663	murD	NC	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	234662	77	454	5.09447e-11	64.4038	PRK00141	murD	N	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	179571	77	223	2.05303e-09	59.3745	PRK03369	murD	C	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	179086	77	224	4.72851e-09	57.9001	PRK00683	murD	C	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	273659	305	455	8.72773e-08	53.826	TIGR01499	folC	N	cl27336
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	179323	109	309	4.75622e-07	51.9799	PRK01710	murD	NC	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	235160	109	239	9.88485e-07	50.6927	PRK03803	murD	NC	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	167786	110	253	1.41621e-06	50.268	PRK04308	murD	NC	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	182774	332	458	3.66173e-06	48.9208	PRK10846	PRK10846	N	cl27336
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	179872	106	239	0.00013828	44.0374	PRK04690	murD	NC	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	307401	26	97	0.00069063	38.3463	pfam01225	Mur_ligase	 - 	cl21454
Q#3 - > Q5ZX16 | lpg0917 length= 483	superfamily	328723	26	97	0.00069063	38.3463	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	182718	16	335	0.00076624	41.5554	PRK10773	murF	C	cl27879
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	179651	110	239	0.000794405	41.4662	PRK03806	murD	NC	cl27880
Q#3 - > Q5ZX16 | lpg0917 length= 483	non-specific	184501	20	334	0.00150641	40.9131	PRK14093	PRK14093	C	cl27879
Q#4 - > Q5ZT55 | lpg2310 length= 288	specific	234851	18	274	2.22779e-95	281.605	PRK00865	PRK00865	 - 	cl00518
Q#4 - > Q5ZT55 | lpg2310 length= 288	superfamily	321017	18	274	2.22779e-95	281.605	cl00518	Asp_Glu_race superfamily	 - 	 - 
Q#4 - > Q5ZT55 | lpg2310 length= 288	non-specific	223867	18	273	8.36073e-87	260.209	COG0796	MurI	 - 	cl00518
Q#4 - > Q5ZT55 | lpg2310 length= 288	non-specific	272885	25	273	3.49997e-66	206.874	TIGR00067	glut_race	 - 	cl00518
Q#4 - > Q5ZT55 | lpg2310 length= 288	specific	307366	25	230	3.25002e-31	115.528	pfam01177	Asp_Glu_race	 - 	cl00518
Q#4 - > Q5ZT55 | lpg2310 length= 288	non-specific	224707	67	236	5.35869e-06	46.0862	COG1794	RacX	N	cl00518
Q#5 - > Q5ZSA7 | lpg2612 length= 364	specific	234993	1	350	5.16718e-165	463.823	PRK01966	ddl	 - 	cl25874
Q#5 - > Q5ZSA7 | lpg2612 length= 364	superfamily	330695	1	350	5.16718e-165	463.823	cl25874	Dala_Dala_lig_N superfamily	 - 	 - 
Q#5 - > Q5ZSA7 | lpg2612 length= 364	specific	273498	9	349	4.59139e-118	344.268	TIGR01205	D_ala_D_alaTIGR	 - 	cl25874
Q#5 - > Q5ZSA7 | lpg2612 length= 364	specific	224102	3	349	1.5759e-109	322.69	COG1181	DdlA	 - 	cl25874
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	234948	10	352	1.84657e-87	265.821	PRK01372	ddl	 - 	cl25874
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	311427	140	346	6.68555e-80	242.983	pfam07478	Dala_Dala_lig_C	 - 	cl17255
Q#5 - > Q5ZSA7 | lpg2612 length= 364	superfamily	327410	140	346	6.68555e-80	242.983	cl17255	CPSase_L_D2 superfamily	 - 	 - 
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	184750	1	350	6.65868e-77	240.022	PRK14568	vanB	 - 	cl25874
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	173034	6	349	1.03756e-60	199.288	PRK14570	PRK14570	 - 	cl25874
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	184752	3	364	4.72869e-50	178.857	PRK14573	PRK14573	N	cl27335
Q#5 - > Q5ZSA7 | lpg2612 length= 364	superfamily	332156	3	364	4.72869e-50	178.857	cl27335	Mur_ligase_C superfamily	N	 - 
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	184751	7	349	8.06376e-48	163.455	PRK14571	PRK14571	 - 	cl25874
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	173036	5	350	1.39843e-44	156.604	PRK14572	PRK14572	 - 	cl25874
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	173033	7	349	5.03136e-34	127.099	PRK14569	PRK14569	 - 	cl25874
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	307778	6	119	4.98622e-21	85.0734	pfam01820	Dala_Dala_lig_N	 - 	cl25874
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	223534	107	347	5.97808e-16	78.1297	COG0458	CarB	N	cl27719
Q#5 - > Q5ZSA7 | lpg2612 length= 364	superfamily	332540	107	347	5.97808e-16	78.1297	cl27719	Biotin_carb_N superfamily	N	 - 
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	223516	83	350	1.37515e-13	71.1439	COG0439	AccC	C	cl27719
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	237195	117	316	6.16834e-11	62.594	PRK12767	PRK12767	N	cl25870
Q#5 - > Q5ZSA7 | lpg2612 length= 364	superfamily	330691	117	316	6.16834e-11	62.594	cl25870	ATPgrasp_Ter superfamily	N	 - 
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	130212	126	319	1.91004e-10	61.293	TIGR01142	purT	NC	cl27718
Q#5 - > Q5ZSA7 | lpg2612 length= 364	superfamily	332539	126	319	1.91004e-10	61.293	cl27718	PurK superfamily	NC	 - 
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	280881	165	317	7.03259e-08	52.3068	pfam02786	CPSase_L_D2	 - 	cl17255
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	223106	128	319	1.99231e-06	48.878	COG0027	PurT	NC	cl27718
